% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
66680 +3.939117450e+00 +3.939117450e+00 -4.581508825e+02 -4.620900000e+02 -1.3631e+00 +1.3508e+00 +2.2137e+00 +7.4531e-01 +2.2984e+00 +2.1888e+00 +2.5207e+00 +2.5957e+00 +1.8104e+00 +3.9977e-02 -2.7331e+00 -3.7960e+00 -1.4514e-01 -2.9526e+00 -1.3849e+00 -3.9111e+00 -3.4030e-01 +2.9422e+00 -2.8248e+00 +1.8061e+00
120019 +2.210673940e+00 +2.210673940e+00 -4.598793261e+02 -4.620900000e+02 -2.3384e+00 +2.2866e+00 +2.1904e+00 +7.4307e-01 +2.3063e+00 +2.1913e+00 +2.5704e+00 +2.6331e+00 +1.8090e+00 +6.6566e-02 -2.7374e+00 -3.7790e+00 -1.3555e-01 -2.9538e+00 -1.3708e+00 -3.9273e+00 -3.1668e-01 +2.9569e+00 -2.8357e+00 +1.8190e+00
120968 +1.235879028e+00 +1.235879028e+00 -4.608541210e+02 -4.620900000e+02 -2.3384e+00 +2.2866e+00 +2.1904e+00 +7.4307e-01 +2.3063e+00 +2.1913e+00 +2.5704e+00 +2.5913e+00 +1.8090e+00 +6.6566e-02 -2.7374e+00 -3.7790e+00 -1.3555e-01 -2.9538e+00 -1.3708e+00 -3.9273e+00 -3.4460e-01 +2.9569e+00 -2.8357e+00 +1.8190e+00
123450 +9.376831294e-01 +9.376831294e-01 -4.611523169e+02 -4.620900000e+02 -2.3384e+00 +2.2866e+00 +2.2308e+00 +7.4307e-01 +2.3024e+00 +2.1913e+00 +2.5432e+00 +2.5913e+00 +1.8090e+00 +6.6566e-02 -2.7374e+00 -3.7790e+00 -1.3555e-01 -2.9538e+00 -1.3708e+00 -3.9273e+00 -3.4460e-01 +2.9569e+00 -2.8357e+00 +1.8190e+00
141946 +3.297842806e-01 +3.297842806e-01 -4.617602157e+02 -4.620900000e+02 -2.3429e+00 +2.2998e+00 +2.2137e+00 +7.2223e-01 +2.2984e+00 +2.1766e+00 +2.5426e+00 +2.5957e+00 +1.8104e+00 +5.1210e-02 -2.7446e+00 -3.7960e+00 -1.4161e-01 -2.9526e+00 -1.3849e+00 -3.9259e+00 -3.4030e-01 +2.9422e+00 -2.8309e+00 +1.8197e+00
176646 +2.091985552e-01 +2.091985552e-01 -4.618808014e+02 -4.620900000e+02 -2.3402e+00 +2.2976e+00 +2.2137e+00 +7.1998e-01 +2.2984e+00 +2.1780e+00 +2.5425e+00 +2.5994e+00 +1.8104e+00 +5.9519e-02 -2.7549e+00 -3.7891e+00 -1.3698e-01 -2.9557e+00 -1.3849e+00 -3.9166e+00 -3.4039e-01 +2.9445e+00 -2.8315e+00 +1.8204e+00
178751 +1.523980472e-01 +1.523980472e-01 -4.619376020e+02 -4.620900000e+02 -2.3402e+00 +2.2976e+00 +2.2137e+00 +7.1998e-01 +2.2984e+00 +2.1780e+00 +2.5425e+00 +2.5994e+00 +1.8104e+00 +5.9519e-02 -2.7549e+00 -3.7891e+00 -1.3698e-01 -2.9557e+00 -1.3849e+00 -3.9226e+00 -3.4039e-01 +2.9445e+00 -2.8315e+00 +1.8204e+00
201755 +9.216612391e-02 +9.216612391e-02 -4.619978339e+02 -4.620900000e+02 -2.3429e+00 +2.2998e+00 +2.2137e+00 +7.2302e-01 +2.2984e+00 +2.1766e+00 +2.5463e+00 +2.5983e+00 +1.8025e+00 +5.8412e-02 -2.7518e+00 -3.7904e+00 -1.3698e-01 -2.9557e+00 -1.3849e+00 -3.9259e+00 -3.4030e-01 +2.9516e+00 -2.8309e+00 +1.8197e+00
238911 +5.860152498e-02 +5.860152498e-02 -4.620313985e+02 -4.620900000e+02 -2.3402e+00 +2.2976e+00 +2.2137e+00 +7.3097e-01 +2.2984e+00 +2.1780e+00 +2.5463e+00 +2.5983e+00 +1.8025e+00 +5.8412e-02 -2.7549e+00 -3.7891e+00 -1.3698e-01 -2.9624e+00 -1.3849e+00 -3.9226e+00 -3.4039e-01 +2.9477e+00 -2.8315e+00 +1.8204e+00
266506 +3.063295068e-02 +3.063295068e-02 -4.620593670e+02 -4.620900000e+02 -2.3402e+00 +2.2976e+00 +2.2137e+00 +7.3097e-01 +2.2984e+00 +2.1766e+00 +2.5480e+00 +2.5983e+00 +1.8025e+00 +5.8412e-02 -2.7518e+00 -3.7877e+00 -1.3698e-01 -2.9620e+00 -1.3849e+00 -3.9226e+00 -3.4039e-01 +2.9477e+00 -2.8315e+00 +1.8204e+00
289337 +1.992340685e-02 +1.992340685e-02 -4.620700766e+02 -4.620900000e+02 -2.3402e+00 +2.2998e+00 +2.2137e+00 +7.3097e-01 +2.2984e+00 +2.1766e+00 +2.5480e+00 +2.5983e+00 +1.8025e+00 +5.8412e-02 -2.7518e+00 -3.7832e+00 -1.3698e-01 -2.9581e+00 -1.3849e+00 -3.9226e+00 -3.4039e-01 +2.9477e+00 -2.8309e+00 +1.8197e+00
312136 +1.529293427e-02 +1.529293427e-02 -4.620747071e+02 -4.620900000e+02 -2.3402e+00 +2.2976e+00 +2.2137e+00 +7.2862e-01 +2.2984e+00 +2.1748e+00 +2.5463e+00 +2.5983e+00 +1.8025e+00 +5.8412e-02 -2.7510e+00 -3.7828e+00 -1.3719e-01 -2.9604e+00 -1.3849e+00 -3.9226e+00 -3.4039e-01 +2.9477e+00 -2.8315e+00 +1.8204e+00
378599 +8.666179390e-03 +8.666179390e-03 -4.620813338e+02 -4.620900000e+02 -2.3402e+00 +2.2998e+00 +2.2137e+00 +7.2862e-01 +2.2984e+00 +2.1748e+00 +2.5463e+00 +2.5983e+00 +1.8025e+00 +5.8277e-02 -2.7518e+00 -3.7832e+00 -1.3941e-01 -2.9604e+00 -1.3849e+00 -3.9245e+00 -3.3827e-01 +2.9477e+00 -2.8309e+00 +1.8197e+00
430000 +5.083378715e-03 +5.083378715e-03 -4.620849166e+02 -4.620900000e+02 -2.3402e+00 +2.2998e+00 +2.2137e+00 +7.2862e-01 +2.2984e+00 +2.1748e+00 +2.5480e+00 +2.5983e+00 +1.8026e+00 +5.8027e-02 -2.7513e+00 -3.7832e+00 -1.3941e-01 -2.9604e+00 -1.3849e+00 -3.9245e+00 -3.3827e-01 +2.9477e+00 -2.8291e+00 +1.8197e+00
436376 +3.831583132e-03 +3.831583132e-03 -4.620861684e+02 -4.620900000e+02 -2.3402e+00 +2.2998e+00 +2.2137e+00 +7.2862e-01 +2.2992e+00 +2.1748e+00 +2.5480e+00 +2.5983e+00 +1.8026e+00 +5.8027e-02 -2.7513e+00 -3.7832e+00 -1.3941e-01 -2.9604e+00 -1.3849e+00 -3.9245e+00 -3.3906e-01 +2.9477e+00 -2.8300e+00 +1.8197e+00
523228 +2.204619502e-03 +2.204619502e-03 -4.620877954e+02 -4.620900000e+02 -2.3402e+00 +2.3001e+00 +2.2137e+00 +7.2862e-01 +2.2992e+00 +2.1748e+00 +2.5480e+00 +2.5983e+00 +1.8026e+00 +5.8027e-02 -2.7503e+00 -3.7832e+00 -1.3858e-01 -2.9604e+00 -1.3849e+00 -3.9242e+00 -3.3906e-01 +2.9477e+00 -2.8300e+00 +1.8197e+00
738642 +1.564603649e-03 +1.564603649e-03 -4.620884354e+02 -4.620900000e+02 -2.3402e+00 +2.3001e+00 +2.2137e+00 +7.2822e-01 +2.2992e+00 +2.1748e+00 +2.5471e+00 +2.5983e+00 +1.8031e+00 +5.8027e-02 -2.7503e+00 -3.7832e+00 -1.3841e-01 -2.9604e+00 -1.3848e+00 -3.9242e+00 -3.3906e-01 +2.9483e+00 -2.8291e+00 +1.8197e+00
879043 +9.841375787e-04 +9.841375787e-04 -4.620890159e+02 -4.620900000e+02 -2.3413e+00 +2.3001e+00 +2.2137e+00 +7.2822e-01 +2.2992e+00 +2.1748e+00 +2.5471e+00 +2.5983e+00 +1.8031e+00 +5.8027e-02 -2.7504e+00 -3.7832e+00 -1.3858e-01 -2.9604e+00 -1.3848e+00 -3.9239e+00 -3.3906e-01 +2.9480e+00 -2.8294e+00 +1.8199e+00
1082961 +5.981426430e-04 +5.981426430e-04 -4.620894019e+02 -4.620900000e+02 -2.3411e+00 +2.3000e+00 +2.2137e+00 +7.2822e-01 +2.2992e+00 +2.1748e+00 +2.5471e+00 +2.5983e+00 +1.8031e+00 +5.8027e-02 -2.7504e+00 -3.7837e+00 -1.3858e-01 -2.9604e+00 -1.3848e+00 -3.9239e+00 -3.3906e-01 +2.9480e+00 -2.8298e+00 +1.8199e+00
1205331 +3.723678820e-04 +3.723678820e-04 -4.620896276e+02 -4.620900000e+02 -2.3411e+00 +2.3000e+00 +2.2137e+00 +7.2816e-01 +2.2992e+00 +2.1748e+00 +2.5471e+00 +2.5984e+00 +1.8031e+00 +5.8027e-02 -2.7504e+00 -3.7842e+00 -1.3841e-01 -2.9611e+00 -1.3848e+00 -3.9239e+00 -3.3906e-01 +2.9480e+00 -2.8294e+00 +1.8199e+00
1409779 +2.131072279e-04 +2.131072279e-04 -4.620897869e+02 -4.620900000e+02 -2.3411e+00 +2.3000e+00 +2.2137e+00 +7.2805e-01 +2.2992e+00 +2.1755e+00 +2.5471e+00 +2.5984e+00 +1.8031e+00 +5.7766e-02 -2.7504e+00 -3.7842e+00 -1.3841e-01 -2.9607e+00 -1.3848e+00 -3.9239e+00 -3.3906e-01 +2.9480e+00 -2.8294e+00 +1.8199e+00
1640740 +1.397168708e-04 +1.397168708e-04 -4.620898603e+02 -4.620900000e+02 -2.3411e+00 +2.3000e+00 +2.2137e+00 +7.2805e-01 +2.2992e+00 +2.1751e+00 +2.5471e+00 +2.5984e+00 +1.8031e+00 +5.7590e-02 -2.7504e+00 -3.7842e+00 -1.3841e-01 -2.9607e+00 -1.3848e+00 -3.9239e+00 -3.3906e-01 +2.9480e+00 -2.8298e+00 +1.8199e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.007525093e+03 +2.007525093e+03 +2.085185093e+03 +7.766000000e+01 -2.4854e+00 -3.3325e+00 -3.8427e+00 -1.5864e-01 -3.4693e+00 +1.0292e+00 +2.0357e+00 +3.5254e-01 +4.7085e+00 +2.4443e+00 -4.1518e+00 +3.6504e+00 +3.2476e+00 +3.8665e+00 -2.4298e+00 -2.9904e+00 +2.3920e+00 +1.0460e+00 -6.1872e-01 -1.6340e+00
387 +6.499501725e+02 +6.499501725e+02 +7.276101725e+02 +7.766000000e+01 +1.9447e+00 -1.1730e+00 +2.7960e+00 -4.6145e+00 -2.3649e+00 -1.7085e-01 +1.8071e+00 +3.8081e+00 +2.9457e+00 -2.2019e+00 +2.8578e+00 -1.1800e+00 -1.6195e+00 +4.9459e-01 -2.8746e+00 -1.3926e+00 +2.2813e+00 -3.8399e+00 +1.0243e+00 -4.7933e+00
577 +4.233327398e+02 +4.233327398e+02 +5.009927398e+02 +7.766000000e+01 +1.9678e+00 +1.6101e+00 -4.9870e+00 -4.1308e-01 -3.3368e-01 -3.5477e+00 -6.4896e-02 +3.5474e+00 -1.7490e+00 -2.2019e+00 +2.8578e+00 -1.1800e+00 -1.6195e+00 +4.9459e-01 -2.8746e+00 -1.3926e+00 -1.6811e+00 -2.4694e+00 +2.5974e+00 -4.8555e+00
770 +3.758767124e+02 +3.758767124e+02 +4.535367124e+02 +7.766000000e+01 +1.9678e+00 +3.0195e+00 -4.1560e+00 +3.2344e+00 -4.0899e+00 -2.8104e+00 -6.4896e-02 +3.5474e+00 -1.7490e+00 -2.2019e+00 +2.8578e+00 -1.1800e+00 -1.6195e+00 +4.9459e-01 -2.8746e+00 -1.3926e+00 -2.0602e-01 -2.4694e+00 +2.5974e+00 -4.8555e+00
1905 +2.504974094e+02 +2.504974094e+02 +3.281574094e+02 +7.766000000e+01 +1.4153e+00 +1.6101e+00 -2.6255e-01 +3.2344e+00 -4.0899e+00 -2.8104e+00 -6.4896e-02 +7.5290e-01 -1.7490e+00 -2.2019e+00 +2.8578e+00 -1.1800e+00 -2.6063e-01 +3.7282e-01 -3.1384e+00 -7.3250e-01 -1.6811e+00 -2.4694e+00 +2.5974e+00 -4.8555e+00
3049 +1.507198745e+02 +1.507198745e+02 +2.283798745e+02 +7.766000000e+01 +1.4153e+00 +1.6101e+00 -2.6255e-01 +3.2344e+00 -4.7567e+00 -2.8104e+00 -6.4896e-02 +7.5290e-01 -2.3039e+00 -2.1296e+00 +2.8578e+00 -1.1800e+00 -2.6063e-01 -4.4731e-01 -2.8746e+00 +1.1833e-01 -1.0652e+00 -2.7448e+00 +2.4512e+00 -4.0869e+00
5352 +8.904714492e+01 +8.904714492e+01 +1.667071449e+02 +7.766000000e+01 +1.4153e+00 +1.0646e+00 -3.5066e-01 +3.2344e+00 -4.7567e+00 -1.9780e+00 +5.9811e-01 +7.5290e-01 -1.7490e+00 -2.0841e+00 +2.8578e+00 -4.1269e-01 -2.6063e-01 -4.4731e-01 -2.8746e+00 +9.9853e-01 -1.0652e+00 -2.7448e+00 +2.4512e+00 -3.4686e+00
7605 +6.305903282e+01 +6.305903282e+01 +1.407190328e+02 +7.766000000e+01 +1.4153e+00 +1.0646e+00 -1.2804e+00 +3.2344e+00 -4.7567e+00 -1.9780e+00 +5.9811e-01 +7.5290e-01 -1.6283e+00 -2.0841e+00 +2.4173e+00 -4.1269e-01 -2.0201e-01 -1.0877e+00 -2.3391e+00 +1.3595e+00 -1.0652e+00 -2.7448e+00 +2.4512e+00 -3.4686e+00
16334 +3.932854439e+01 +3.932854439e+01 +1.169885444e+02 +7.766000000e+01 +5.4087e+00 -1.8148e+00 -2.9675e+00 +1.7991e+00 -3.3290e+00 +2.5588e-01 -1.9894e-01 -1.0585e+00 -4.8867e-01 -3.8250e+00 +2.9928e+00 +6.9370e-01 +1.2683e+00 -1.5902e+00 -2.8357e+00 +1.3621e+00 +1.5757e-01 -2.7469e+00 +2.7614e+00 -3.7667e+00
25225 +2.454232310e+01 +2.454232310e+01 +1.022023231e+02 +7.766000000e+01 +2.4086e+00 +1.0399e+00 -1.3493e+00 +2.4937e+00 -2.4748e+00 -4.8296e-01 +1.2979e+00 +9.0982e-01 -4.9491e-01 -3.8106e+00 +2.4024e+00 +1.6701e-01 -1.8449e-01 -1.6090e+00 -2.3661e+00 +9.5445e-01 +1.0233e-01 -2.7487e+00 +2.7914e+00 -3.4708e+00
27355 +1.559259036e+01 +1.559259036e+01 +9.325259036e+01 +7.766000000e+01 +2.4086e+00 +1.0399e+00 -1.2840e+00 +2.4550e+00 -2.4748e+00 -4.8296e-01 +1.2979e+00 +1.1940e-01 -4.9491e-01 -3.8323e+00 +2.4024e+00 +1.6701e-01 -1.8449e-01 -1.6090e+00 -2.8493e+00 +1.3791e+00 -3.2115e-01 -2.7487e+00 +2.7914e+00 -3.4708e+00
63726 +9.756378133e+00 +9.756378133e+00 +8.741637813e+01 +7.766000000e+01 +1.4153e+00 +1.0088e-01 -1.2804e+00 +3.3059e+00 -3.3298e+00 -1.3135e+00 +5.9811e-01 +9.6810e-02 +2.0057e-01 -4.4599e+00 +2.9799e+00 +1.4750e-01 +2.9503e-01 -1.5964e+00 -2.3391e+00 +1.3595e+00 -2.9938e-01 -2.7448e+00 +2.4512e+00 -3.4423e+00
88084 +6.196668170e+00 +6.196668170e+00 +8.385666817e+01 +7.766000000e+01 +2.3936e+00 +9.7421e-02 -1.2722e+00 +2.4550e+00 -2.4565e+00 -5.2715e-01 +5.9061e-01 +1.1940e-01 +1.6621e-01 -3.8776e+00 +2.4024e+00 +1.5870e-01 -1.8449e-01 -1.6090e+00 -2.8493e+00 +1.3531e+00 -3.0866e-01 -2.7487e+00 +2.7666e+00 -3.4368e+00
92107 +3.602199542e+00 +3.602199542e+00 +8.126219954e+01 +7.766000000e+01 +2.3936e+00 -8.5311e-01 -1.2722e+00 +2.4550e+00 -2.4565e+00 -5.2715e-01 +5.9061e-01 +1.1940e-01 +1.6621e-01 -3.8776e+00 +2.9316e+00 +1.5269e-01 +3.3073e-01 -1.6090e+00 -2.8493e+00 +1.3531e+00 -2.9028e-01 -2.7487e+00 +2.7666e+00 -3.4646e+00
108789 +2.398678535e+00 +2.398678535e+00 +8.005867853e+01 +7.766000000e+01 +2.4086e+00 -8.7753e-01 -1.2752e+00 +3.3181e+00 -2.4748e+00 -5.3627e-01 +5.8049e-01 +1.1940e-01 +1.8209e-01 -3.8655e+00 +2.9670e+00 +1.4688e-01 +2.9472e-01 -1.6090e+00 -2.7949e+00 +1.3591e+00 -3.0866e-01 -2.7487e+00 +2.7823e+00 -3.4708e+00
111339 +1.175812728e+00 +1.175812728e+00 +7.883581273e+01 +7.766000000e+01 +2.4086e+00 -8.7753e-01 -1.2752e+00 +3.3181e+00 -2.4634e+00 -5.3627e-01 +5.8049e-01 +1.1940e-01 +1.8209e-01 -3.8655e+00 +2.9670e+00 +1.4688e-01 +2.9472e-01 -1.6107e+00 -2.8127e+00 +1.3591e+00 -3.0866e-01 -2.7487e+00 +2.7823e+00 -3.4472e+00
111733 +9.554790490e-01 +9.554790490e-01 +7.861547905e+01 +7.766000000e+01 +2.4086e+00 -8.7753e-01 -1.2752e+00 +3.3181e+00 -2.4634e+00 -5.3627e-01 +5.8049e-01 +1.1940e-01 +1.8209e-01 -3.8655e+00 +2.9670e+00 +1.4688e-01 +2.9472e-01 -1.6090e+00 -2.8127e+00 +1.3536e+00 -2.8443e-01 -2.7487e+00 +2.7823e+00 -3.4472e+00
157960 +5.930988436e-01 +5.930988436e-01 +7.825309884e+01 +7.766000000e+01 +2.4018e+00 -8.6977e-01 -1.2804e+00 +3.3255e+00 -2.4535e+00 -5.3986e-01 +5.9811e-01 +9.5606e-02 +1.6140e-01 -3.8491e+00 +2.9577e+00 +1.4750e-01 +2.9503e-01 -1.5966e+00 -2.8202e+00 +1.3595e+00 -3.0079e-01 -2.7448e+00 +2.7666e+00 -3.4514e+00
184375 +3.933429527e-01 +3.933429527e-01 +7.805334295e+01 +7.766000000e+01 +2.4086e+00 -8.5851e-01 -1.2752e+00 +3.3181e+00 -2.4634e+00 -5.3627e-01 +5.8049e-01 +1.1940e-01 +1.6847e-01 -3.8655e+00 +2.9670e+00 +1.4688e-01 +2.9472e-01 -1.6082e+00 -2.8127e+00 +1.3536e+00 -2.9452e-01 -2.7487e+00 +2.7600e+00 -3.4565e+00
209143 +2.264935934e-01 +2.264935934e-01 +7.788649359e+01 +7.766000000e+01 +2.3999e+00 -8.5576e-01 -1.2752e+00 +3.3181e+00 -2.4634e+00 -5.3627e-01 +5.8049e-01 +1.1940e-01 +1.7131e-01 -3.8582e+00 +2.9509e+00 +1.4868e-01 +3.0306e-01 -1.5964e+00 -2.8222e+00 +1.3556e+00 -2.9938e-01 -2.7487e+00 +2.7711e+00 -3.4566e+00
219287 +1.499008661e-01 +1.499008661e-01 +7.780990087e+01 +7.766000000e+01 +2.4008e+00 -8.6100e-01 -1.2840e+00 +3.3181e+00 -2.4634e+00 -5.3627e-01 +5.8049e-01 +1.1940e-01 +1.7131e-01 -3.8582e+00 +2.9559e+00 +1.4868e-01 +2.9472e-01 -1.5997e+00 -2.8202e+00 +1.3536e+00 -2.8990e-01 -2.7487e+00 +2.7663e+00 -3.4513e+00
290038 +8.503976012e-02 +8.503976012e-02 +7.774503976e+01 +7.766000000e+01 +2.3999e+00 -8.5576e-01 -1.2719e+00 +3.3187e+00 -2.4634e+00 -5.3627e-01 +5.8532e-01 +1.1940e-01 +1.7131e-01 -3.8582e+00 +2.9559e+00 +1.4868e-01 +2.9472e-01 -1.5997e+00 -2.8202e+00 +1.3536e+00 -2.8990e-01 -2.7487e+00 +2.7663e+00 -3.4513e+00
300695 +6.204179892e-02 +6.204179892e-02 +7.772204180e+01 +7.766000000e+01 +2.4007e+00 -8.5311e-01 -1.2722e+00 +3.3255e+00 -2.4565e+00 -5.3986e-01 +5.9061e-01 +1.1922e-01 +1.7028e-01 -3.8582e+00 +2.9559e+00 +1.4868e-01 +2.9472e-01 -1.5997e+00 -2.8202e+00 +1.3536e+00 -2.9639e-01 -2.7487e+00 +2.7666e+00 -3.4514e+00
347661 +2.767050540e-02 +2.767050540e-02 +7.768767051e+01 +7.766000000e+01 +2.4018e+00 -8.5568e-01 -1.2725e+00 +3.3260e+00 -2.4634e+00 -5.3882e-01 +5.9061e-01 +1.1922e-01 +1.7028e-01 -3.8638e+00 +2.9577e+00 +1.5092e-01 +2.9916e-01 -1.6017e+00 -2.8202e+00 +1.3531e+00 -2.9452e-01 -2.7494e+00 +2.7666e+00 -3.4547e+00
347848 +2.226791523e-02 +2.226791523e-02 +7.768226792e+01 +7.766000000e+01 +2.4007e+00 -8.5592e-01 -1.2722e+00 +3.3255e+00 -2.4634e+00 -5.3882e-01 +5.8781e-01 +1.1940e-01 +1.6847e-01 -3.8632e+00 +2.9577e+00 +1.5092e-01 +2.9916e-01 -1.6017e+00 -2.8202e+00 +1.3531e+00 -2.9452e-01 -2.7494e+00 +2.7666e+00 -3.4514e+00
348233 +1.456147548e-02 +1.456147548e-02 +7.767456148e+01 +7.766000000e+01 +2.4007e+00 -8.5311e-01 -1.2722e+00 +3.3260e+00 -2.4634e+00 -5.3882e-01 +5.8947e-01 +1.1620e-01 +1.7028e-01 -3.8582e+00 +2.9559e+00 +1.5092e-01 +2.9916e-01 -1.6017e+00 -2.8202e+00 +1.3531e+00 -2.9452e-01 -2.7494e+00 +2.7666e+00 -3.4514e+00
433261 +9.867920881e-03 +9.867920881e-03 +7.766986792e+01 +7.766000000e+01 +2.3974e+00 -8.5592e-01 -1.2722e+00 +3.3255e+00 -2.4634e+00 -5.3882e-01 +5.8947e-01 +1.1386e-01 +1.7028e-01 -3.8603e+00 +2.9559e+00 +1.5092e-01 +2.9886e-01 -1.6017e+00 -2.8202e+00 +1.3531e+00 -2.9452e-01 -2.7494e+00 +2.7666e+00 -3.4514e+00
