% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
77582 +4.976701951e-02 +4.976701951e-02 +6.560397670e+02 +6.559900000e+02 +5.7915e+00 -5.7287e+00 -5.0982e+00 +5.6199e+00 -5.0084e+00 -5.2309e+00 -5.0973e+00 +6.7316e+00 -5.0917e+00 -5.4489e+00 +5.3186e+00 +4.9942e+00 +5.1092e+00 -5.0386e+00 +5.2890e+00 +4.9955e+00 -5.3344e+00 -5.2227e+00 +6.2174e+00 +5.6299e+00
77961 +2.182133204e-02 +2.182133204e-02 +6.560118213e+02 +6.559900000e+02 +5.2361e+00 -5.3605e+00 -5.0982e+00 +5.4327e+00 -5.0084e+00 -6.0046e+00 -5.0073e+00 +5.6157e+00 -5.3367e+00 -5.4943e+00 +5.7073e+00 +4.9942e+00 +5.4288e+00 -5.2778e+00 +5.4873e+00 +5.6675e+00 -5.3344e+00 -6.1785e+00 +5.4956e+00 +6.0151e+00
78152 +0.000000000e+00 +0.000000000e+00 +6.559900000e+02 +6.559900000e+02 +5.1968e+00 -5.3591e+00 -5.3840e+00 +5.2066e+00 -5.2600e+00 -5.2486e+00 -5.5696e+00 +6.1047e+00 -5.5405e+00 -7.0505e+00 +5.0111e+00 +5.9907e+00 +5.4288e+00 -5.7346e+00 +5.8388e+00 +5.2369e+00 -5.3344e+00 -5.2227e+00 +7.3636e+00 +5.9170e+00
% function evaluation | noise-free fitness - Fopt (6.671000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.972231812e+02 +3.972231812e+02 +4.639331812e+02 +6.671000000e+01 +4.4756e-01 -5.5236e-01 -1.7326e+00 -2.7672e+00 -3.3071e+00 +1.4369e+00 -1.7207e+00 +9.8766e-01 -4.7856e+00 -2.7143e+00 -3.9182e+00 -2.5982e+00 -2.9885e+00 -2.5963e+00 +2.0313e+00 -3.0056e+00 -2.8959e+00 +9.6538e-01 +4.0221e+00 -3.1758e+00
179 +2.562884923e+02 +2.562884923e+02 +3.229984923e+02 +6.671000000e+01 +1.4511e+00 -2.8631e+00 -1.1425e-01 +3.8773e+00 -4.6367e+00 -1.7155e+00 -6.0303e-01 +3.5295e+00 -1.8225e+00 +2.4229e+00 -3.3768e+00 -3.8878e+00 +4.0353e+00 -2.8841e+00 +2.8758e+00 +4.8671e+00 +4.6236e-01 -3.4428e+00 -3.0192e+00 -2.4471e+00
366 +2.442405709e+02 +2.442405709e+02 +3.109505709e+02 +6.671000000e+01 +1.4511e+00 -2.8631e+00 -1.1425e-01 +3.8773e+00 -4.6367e+00 -1.7155e+00 -6.0303e-01 -4.9944e+00 -2.8341e+00 +2.5849e+00 -8.1624e-01 -4.9137e+00 +4.0353e+00 -2.8841e+00 +2.8758e+00 +4.8671e+00 +4.6236e-01 -3.4428e+00 -3.0192e+00 -2.4471e+00
1099 +1.539056088e+02 +1.539056088e+02 +2.206156088e+02 +6.671000000e+01 -4.0937e+00 -2.5295e+00 -4.3560e+00 +1.9146e+00 -2.0538e+00 +1.9034e+00 +3.4908e+00 +3.1733e+00 +1.1419e-01 -4.0958e+00 +4.2977e+00 -4.5998e+00 +5.1270e+00 +5.4079e+00 +3.3648e+00 +4.7029e+00 -2.0558e+00 -3.3343e+00 -4.4605e+00 -4.9566e+00
2202 +8.807001710e+01 +8.807001710e+01 +1.547800171e+02 +6.671000000e+01 +1.0554e+00 -8.6831e-01 -1.1544e+00 +4.4461e+00 -2.3793e+00 +4.8039e+00 -4.3513e-01 -2.3767e+00 +4.7491e-01 -4.8915e+00 -3.7159e+00 -5.1652e+00 +3.2213e+00 +4.8126e+00 +2.8758e+00 +4.8671e+00 -4.2587e+00 -4.5528e+00 -4.9650e+00 -4.5004e+00
3314 +6.082402627e+01 +6.082402627e+01 +1.275340263e+02 +6.671000000e+01 -3.5717e+00 -3.7703e+00 -3.8525e+00 +4.4461e+00 -2.3793e+00 +4.8039e+00 -6.6614e-01 -4.8817e+00 -6.4668e-01 -4.8915e+00 -4.8950e+00 -4.5998e+00 +5.1270e+00 +5.4079e+00 +3.3648e+00 +4.6886e+00 -4.2587e+00 -4.5528e+00 -4.9650e+00 -4.5004e+00
4251 +3.847707915e+01 +3.847707915e+01 +1.051870792e+02 +6.671000000e+01 -3.5717e+00 -8.2553e-01 -4.2222e+00 +4.4461e+00 +1.0042e+00 +5.3302e+00 -4.2155e+00 -4.8817e+00 +4.5623e+00 -4.9226e+00 -4.8950e+00 -4.5998e+00 +5.1270e+00 +5.4079e+00 +3.9498e+00 +4.8671e+00 -4.2587e+00 -4.5528e+00 -5.0496e+00 -4.9566e+00
5518 +2.220649965e+01 +2.220649965e+01 +8.891649965e+01 +6.671000000e+01 -3.5717e+00 -8.2553e-01 -4.1865e+00 +4.4461e+00 -4.6367e+00 +4.8039e+00 -4.9402e+00 -5.5794e+00 +4.5623e+00 -4.1863e+00 -4.8950e+00 -5.1033e+00 +5.1270e+00 +5.4079e+00 +3.3648e+00 +5.3291e+00 -5.0238e+00 -5.0025e+00 -4.9650e+00 -5.8808e+00
6252 +1.358352562e+01 +1.358352562e+01 +8.029352562e+01 +6.671000000e+01 -4.2024e+00 -2.9306e+00 -4.7382e+00 +4.4461e+00 -4.6367e+00 +5.3302e+00 -4.2155e+00 -4.9637e+00 +4.9606e+00 -5.0190e+00 -4.8950e+00 -5.1033e+00 +4.9001e+00 +5.4079e+00 +4.7647e+00 +5.3725e+00 -4.9892e+00 -4.5528e+00 -4.9650e+00 -4.9041e+00
7151 +9.315805085e+00 +9.315805085e+00 +7.602580509e+01 +6.671000000e+01 -3.5717e+00 -1.6587e+00 -4.7385e+00 +4.4461e+00 -4.8423e+00 +4.8039e+00 -4.9926e+00 -4.8817e+00 +4.9614e+00 -4.8915e+00 -4.8950e+00 -5.1652e+00 +5.2829e+00 +4.9304e+00 +5.1650e+00 +5.4262e+00 -4.9058e+00 -5.0943e+00 -4.9650e+00 -5.8808e+00
7859 +6.130020479e+00 +6.130020479e+00 +7.284002048e+01 +6.671000000e+01 -3.3162e+00 -3.9016e+00 -4.2222e+00 +4.9207e+00 -4.8423e+00 +4.8039e+00 -4.9926e+00 -4.8817e+00 +4.9614e+00 -4.8973e+00 -4.8950e+00 -5.1033e+00 +5.2829e+00 +5.4079e+00 +5.1650e+00 +5.4262e+00 -5.2658e+00 -5.0496e+00 -5.0496e+00 -4.9566e+00
9159 +3.668987554e+00 +3.668987554e+00 +7.037898755e+01 +6.671000000e+01 -4.4914e+00 -3.9016e+00 -4.2222e+00 +4.9207e+00 -4.6367e+00 +5.3302e+00 -4.9402e+00 -5.3601e+00 +4.9614e+00 -5.4224e+00 -5.7728e+00 -5.1652e+00 +5.2829e+00 +5.0390e+00 +5.1650e+00 +5.4262e+00 -5.0543e+00 -5.0943e+00 -5.6111e+00 -5.4066e+00
72500 +2.420869129e+00 +2.420869129e+00 +6.913086913e+01 +6.671000000e+01 -4.8043e+00 -4.6120e+00 -4.7385e+00 +4.9207e+00 -5.6175e+00 +4.8039e+00 -4.9402e+00 -4.8817e+00 +4.9614e+00 -4.8391e+00 -5.7728e+00 -5.1652e+00 +5.2829e+00 +5.4737e+00 +5.1650e+00 +5.4262e+00 -5.0238e+00 -5.6159e+00 -5.6111e+00 -5.4066e+00
73099 +1.443072413e+00 +1.443072413e+00 +6.815307241e+01 +6.671000000e+01 -4.4608e+00 -4.6120e+00 -4.9855e+00 +4.8491e+00 -5.2113e+00 +5.2362e+00 -5.1074e+00 -5.9123e+00 +5.2593e+00 -4.9226e+00 -5.7728e+00 -5.8796e+00 +5.3183e+00 +5.4079e+00 +5.1650e+00 +5.0998e+00 -5.0238e+00 -5.2418e+00 -5.6111e+00 -5.4066e+00
73697 +9.523108443e-01 +9.523108443e-01 +6.766231084e+01 +6.671000000e+01 -4.9106e+00 -5.4109e+00 -4.7385e+00 +4.9207e+00 -5.2113e+00 +5.2362e+00 -4.9402e+00 -5.3601e+00 +4.9614e+00 -5.4224e+00 -5.7728e+00 -5.7450e+00 +5.3183e+00 +4.9607e+00 +5.7443e+00 +5.0998e+00 -5.0238e+00 -5.3577e+00 -5.6111e+00 -5.6976e+00
74496 +5.553132423e-01 +5.553132423e-01 +6.726531324e+01 +6.671000000e+01 -4.9106e+00 -5.4109e+00 -4.9855e+00 +4.8491e+00 -5.2113e+00 +5.2362e+00 -5.1074e+00 -5.3601e+00 +5.1362e+00 -4.9226e+00 -5.7728e+00 -5.7450e+00 +5.3183e+00 +6.0012e+00 +5.1650e+00 +5.0998e+00 -5.0238e+00 -5.2418e+00 -5.6111e+00 -5.6976e+00
75096 +2.220031086e-01 +2.220031086e-01 +6.693200311e+01 +6.671000000e+01 -4.9106e+00 -5.4109e+00 -4.9855e+00 +4.9207e+00 -5.2113e+00 +5.2362e+00 -5.1074e+00 -5.0318e+00 +5.1362e+00 -5.2538e+00 -6.1149e+00 -5.7450e+00 +5.3183e+00 +5.4737e+00 +5.1650e+00 +5.4262e+00 -5.0238e+00 -5.3577e+00 -5.6111e+00 -5.6976e+00
75296 +1.141248527e-01 +1.141248527e-01 +6.682412485e+01 +6.671000000e+01 -5.1763e+00 -5.2161e+00 -5.4368e+00 +4.9207e+00 -5.3960e+00 +5.2362e+00 -5.1074e+00 -5.3601e+00 +5.1039e+00 -5.7326e+00 -5.7728e+00 -5.1652e+00 +5.2829e+00 +6.0012e+00 +5.1650e+00 +5.0998e+00 -5.0238e+00 -5.2418e+00 -5.6111e+00 -5.6976e+00
75894 +1.843186125e-02 +1.843186125e-02 +6.672843186e+01 +6.671000000e+01 -5.1763e+00 -5.4109e+00 -4.9855e+00 +5.0208e+00 -5.2113e+00 +5.2362e+00 -5.1074e+00 -5.3601e+00 +5.1039e+00 -5.4224e+00 -5.3568e+00 -5.2819e+00 +5.3183e+00 +5.2115e+00 +5.1650e+00 +5.0998e+00 -5.0238e+00 -5.3577e+00 -5.2969e+00 -5.6976e+00
76494 -1.421085472e-14 -1.421085472e-14 +6.671000000e+01 +6.671000000e+01 -5.1763e+00 -5.4109e+00 -5.9890e+00 +5.0208e+00 -5.2113e+00 +5.4935e+00 -5.1074e+00 -5.6817e+00 +5.1039e+00 -5.7401e+00 -5.7728e+00 -5.7450e+00 +5.3383e+00 +6.0012e+00 +5.2815e+00 +5.0998e+00 -5.0238e+00 -5.3577e+00 -5.6111e+00 -5.6976e+00
% function evaluation | noise-free fitness - Fopt (9.416700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.890613696e+02 +2.890613696e+02 +1.230731370e+03 +9.416700000e+02 +4.8723e+00 -3.3544e+00 -1.2048e+00 +4.2648e-01 -2.7735e+00 -1.4989e+00 -1.4921e+00 +4.5339e-01 -4.9091e+00 -2.0730e+00 +3.1527e+00 +3.5189e+00 +6.5102e-01 -2.5606e+00 +3.9131e+00 -2.9128e+00 -2.4279e+00 +2.2877e+00 +1.1369e+00 +2.7877e+00
199 +2.268935554e+02 +2.268935554e+02 +1.168563555e+03 +9.416700000e+02 -4.2925e+00 -3.1991e+00 -2.6571e+00 +3.4839e-01 -5.8517e-02 -1.4479e+00 +3.5067e+00 +2.2566e+00 +3.1250e+00 +4.9045e+00 +3.0331e+00 +4.7815e+00 -4.0935e+00 -8.8128e-01 +3.6138e+00 -2.2031e+00 -1.8706e+00 +3.6582e+00 +4.1170e+00 +4.9059e+00
979 +1.580818227e+02 +1.580818227e+02 +1.099751823e+03 +9.416700000e+02 -1.0069e+00 -4.9933e+00 +2.2027e+00 +7.4165e-01 +1.6272e+00 -4.5038e+00 -4.1211e+00 -2.5002e+00 +3.2444e+00 -5.4167e-01 +5.8021e-01 +2.8262e+00 -1.6108e+00 -4.1514e+00 +7.5805e-01 +2.9959e+00 -3.5951e+00 +3.6582e+00 +4.1170e+00 +4.8145e+00
2157 +9.242365897e+01 +9.242365897e+01 +1.034093659e+03 +9.416700000e+02 -4.2925e+00 -3.3099e+00 +4.4332e+00 +1.9901e+00 -2.4742e+00 -4.3716e+00 -1.1483e+00 -4.2672e+00 +4.8251e+00 -4.2873e+00 +3.4545e+00 +3.6221e+00 -3.5124e+00 -4.4042e+00 +4.8711e+00 +1.1389e+00 -5.2743e+00 +3.4492e+00 +4.1170e+00 +4.6901e+00
