% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
7405 +9.124624506e-01 +9.124624506e-01 +8.039246245e+01 +7.948000000e+01 +5.3986e-01 -1.4351e+00 -9.3319e-01 +1.7217e+00 -2.2463e+00 +2.8347e-01 -1.9490e-01 +2.1911e-01 -1.6180e+00 -3.2306e+00 -3.9091e+00 +1.8346e+00 +7.5221e-01 +1.7926e-01 +3.9173e+00 +3.0411e+00 -1.6905e-01 -4.0849e+00 +2.2740e+00 +1.6081e+00
8726 +5.972436431e-01 +5.972436431e-01 +8.007724364e+01 +7.948000000e+01 +5.3986e-01 -1.0522e+00 -5.6916e-01 +1.7217e+00 -2.2463e+00 +2.8347e-01 -1.9490e-01 +2.1911e-01 -1.6180e+00 -2.9384e+00 -3.9091e+00 +2.1959e+00 +1.1394e+00 +1.7926e-01 +3.5986e+00 +3.0411e+00 -1.6905e-01 -3.8940e+00 +2.4048e+00 +1.6081e+00
9494 +3.763737326e-01 +3.763737326e-01 +7.985637373e+01 +7.948000000e+01 +5.3986e-01 -1.4351e+00 -5.7072e-01 +1.7217e+00 -2.5641e+00 +2.8347e-01 -4.2739e-02 +2.1911e-01 -1.6180e+00 -3.2306e+00 -3.9091e+00 +1.9772e+00 +1.0446e+00 -7.7599e-02 +3.5934e+00 +3.0411e+00 -1.6905e-01 -4.1148e+00 +2.3780e+00 +1.3971e+00
76031 +2.473183658e-01 +2.473183658e-01 +7.972731837e+01 +7.948000000e+01 +4.0611e-01 -1.0530e+00 -8.7287e-01 +1.8666e+00 -2.7925e+00 +6.1077e-01 -8.0091e-02 +1.3704e-01 -1.7470e+00 -2.9769e+00 -3.7541e+00 +2.1623e+00 +9.3005e-01 -6.5788e-02 +3.7113e+00 +2.9614e+00 -1.6621e-01 -3.9003e+00 +2.5020e+00 +1.5614e+00
77151 +1.452592479e-01 +1.452592479e-01 +7.962525925e+01 +7.948000000e+01 +2.8261e-01 -1.0530e+00 -8.6632e-01 +2.0429e+00 -2.5354e+00 +4.5438e-01 -8.0091e-02 +2.9255e-02 -1.7245e+00 -2.9769e+00 -3.6624e+00 +2.0116e+00 +1.0079e+00 -6.5788e-02 +3.7113e+00 +2.9614e+00 -1.6621e-01 -3.9003e+00 +2.3422e+00 +1.3056e+00
78280 +9.385781177e-02 +9.385781177e-02 +7.957385781e+01 +7.948000000e+01 +2.8261e-01 -1.0530e+00 -6.3783e-01 +2.0429e+00 -2.5354e+00 +4.5438e-01 -8.0091e-02 +1.4259e-01 -1.7245e+00 -2.9769e+00 -3.9292e+00 +2.0116e+00 +1.0079e+00 -6.5788e-02 +3.7113e+00 +2.9614e+00 -1.6621e-01 -3.9003e+00 +2.3422e+00 +1.3056e+00
79601 +6.120929726e-02 +6.120929726e-02 +7.954120930e+01 +7.948000000e+01 +2.5198e-01 -1.1643e+00 -6.3783e-01 +2.0429e+00 -2.6879e+00 +4.4455e-01 -8.0091e-02 +1.3704e-01 -1.7245e+00 -2.9769e+00 -3.9292e+00 +2.0116e+00 +1.0079e+00 -6.5788e-02 +3.7113e+00 +2.9614e+00 -1.6621e-01 -3.8927e+00 +2.3422e+00 +1.3056e+00
81638 +3.911421615e-02 +3.911421615e-02 +7.951911422e+01 +7.948000000e+01 +2.5198e-01 -1.1643e+00 -6.3783e-01 +1.9341e+00 -2.6879e+00 +4.4455e-01 -8.0091e-02 +1.4259e-01 -1.7245e+00 -3.0866e+00 -3.9292e+00 +2.0116e+00 +1.0466e+00 -6.5788e-02 +3.7113e+00 +2.8485e+00 -1.5474e-01 -3.8927e+00 +2.3422e+00 +1.3056e+00
84426 +2.314895953e-02 +2.314895953e-02 +7.950314896e+01 +7.948000000e+01 +2.8261e-01 -1.1643e+00 -6.7453e-01 +1.9341e+00 -2.6879e+00 +4.4455e-01 -8.0091e-02 +1.4259e-01 -1.6045e+00 -3.0866e+00 -3.8164e+00 +1.9722e+00 +1.0466e+00 -8.8323e-02 +3.7113e+00 +2.9246e+00 -1.6621e-01 -3.8927e+00 +2.3422e+00 +1.3056e+00
150356 +1.517715829e-02 +1.517715829e-02 +7.949517716e+01 +7.948000000e+01 +2.5198e-01 -1.1643e+00 -7.1274e-01 +1.9341e+00 -2.6879e+00 +4.5438e-01 -8.0091e-02 +1.3704e-01 -1.6590e+00 -3.0866e+00 -3.8610e+00 +2.0116e+00 +1.0466e+00 -6.5788e-02 +3.7113e+00 +2.9246e+00 -1.5474e-01 -3.9003e+00 +2.3422e+00 +1.3056e+00
156252 +9.062764174e-03 +9.062764174e-03 +7.948906276e+01 +7.948000000e+01 +2.8261e-01 -1.1643e+00 -7.3364e-01 +1.9341e+00 -2.6879e+00 +4.4455e-01 -8.0091e-02 +1.3704e-01 -1.6590e+00 -3.0628e+00 -3.8164e+00 +2.0116e+00 +1.0720e+00 -6.5788e-02 +3.6755e+00 +2.9246e+00 -1.5474e-01 -3.8927e+00 +2.3422e+00 +1.3631e+00
182490 +6.214215831e-03 +6.214215831e-03 +7.948621422e+01 +7.948000000e+01 +2.5198e-01 -1.1643e+00 -7.4400e-01 +1.9341e+00 -2.6879e+00 +4.4455e-01 -1.0548e-01 +1.4259e-01 -1.6045e+00 -3.0453e+00 -3.8601e+00 +2.0116e+00 +1.1210e+00 -8.7833e-02 +3.6341e+00 +2.9139e+00 -1.1097e-01 -3.9003e+00 +2.3422e+00 +1.3263e+00
223154 +3.622607181e-03 +3.622607181e-03 +7.948362261e+01 +7.948000000e+01 +2.6953e-01 -1.1577e+00 -7.4742e-01 +1.9537e+00 -2.6945e+00 +4.4455e-01 -1.1567e-01 +1.3704e-01 -1.6416e+00 -3.0689e+00 -3.8599e+00 +2.0116e+00 +1.0678e+00 -7.7599e-02 +3.6429e+00 +2.9006e+00 -1.2894e-01 -3.9376e+00 +2.3422e+00 +1.3695e+00
256088 +2.211308150e-03 +2.211308150e-03 +7.948221131e+01 +7.948000000e+01 +2.5198e-01 -1.1643e+00 -7.4400e-01 +1.9341e+00 -2.6879e+00 +4.4455e-01 -1.1542e-01 +1.3704e-01 -1.6590e+00 -3.0453e+00 -3.8601e+00 +2.0116e+00 +1.0913e+00 -8.7833e-02 +3.6341e+00 +2.9139e+00 -1.1097e-01 -3.9427e+00 +2.3698e+00 +1.3492e+00
269169 +1.554747265e-03 +1.554747265e-03 +7.948155475e+01 +7.948000000e+01 +2.5198e-01 -1.1439e+00 -7.2296e-01 +1.9202e+00 -2.6879e+00 +4.3481e-01 -1.0959e-01 +1.2184e-01 -1.6401e+00 -3.0517e+00 -3.8659e+00 +2.0286e+00 +1.0777e+00 -9.3562e-02 +3.6261e+00 +2.9246e+00 -1.1735e-01 -3.9251e+00 +2.3583e+00 +1.3607e+00
331600 +9.358847745e-04 +9.358847745e-04 +7.948093588e+01 +7.948000000e+01 +2.5198e-01 -1.1643e+00 -7.1384e-01 +1.9341e+00 -2.6879e+00 +4.3591e-01 -1.1542e-01 +1.1317e-01 -1.6473e+00 -3.0453e+00 -3.8601e+00 +2.0116e+00 +1.0913e+00 -8.7833e-02 +3.6496e+00 +2.9139e+00 -1.1662e-01 -3.9427e+00 +2.3698e+00 +1.3537e+00
333728 +6.281627700e-04 +6.281627700e-04 +7.948062816e+01 +7.948000000e+01 +2.5198e-01 -1.1643e+00 -7.2692e-01 +1.9341e+00 -2.6879e+00 +4.3591e-01 -1.1542e-01 +1.1317e-01 -1.6473e+00 -3.0453e+00 -3.8601e+00 +2.0116e+00 +1.0913e+00 -8.7833e-02 +3.6496e+00 +2.9139e+00 -1.1662e-01 -3.9293e+00 +2.3698e+00 +1.3537e+00
417396 +3.932779639e-04 +3.932779639e-04 +7.948039328e+01 +7.948000000e+01 +2.5198e-01 -1.1613e+00 -7.2352e-01 +1.9202e+00 -2.6879e+00 +4.3481e-01 -1.0959e-01 +1.2184e-01 -1.6401e+00 -3.0517e+00 -3.8564e+00 +2.0116e+00 +1.0777e+00 -8.8323e-02 +3.6498e+00 +2.9071e+00 -1.1735e-01 -3.9251e+00 +2.3583e+00 +1.3607e+00
450960 +2.484720957e-04 +2.484720957e-04 +7.948024847e+01 +7.948000000e+01 +2.5198e-01 -1.1576e+00 -7.2296e-01 +1.9301e+00 -2.6879e+00 +4.3481e-01 -1.1567e-01 +1.2184e-01 -1.6401e+00 -3.0517e+00 -3.8548e+00 +2.0152e+00 +1.0777e+00 -8.8323e-02 +3.6428e+00 +2.9071e+00 -1.2894e-01 -3.9251e+00 +2.3583e+00 +1.3607e+00
558278 +1.371186380e-04 +1.371186380e-04 +7.948013712e+01 +7.948000000e+01 +2.5198e-01 -1.1577e+00 -7.2352e-01 +1.9270e+00 -2.6843e+00 +4.3931e-01 -1.1542e-01 +1.2184e-01 -1.6387e+00 -3.0517e+00 -3.8577e+00 +2.0138e+00 +1.0913e+00 -8.8323e-02 +3.6428e+00 +2.9071e+00 -1.2894e-01 -3.9308e+00 +2.3583e+00 +1.3569e+00
562719 +9.866704318e-05 +9.866704318e-05 +7.948009867e+01 +7.948000000e+01 +2.5198e-01 -1.1567e+00 -7.2352e-01 +1.9270e+00 -2.6843e+00 +4.3931e-01 -1.1732e-01 +1.2184e-01 -1.6387e+00 -3.0517e+00 -3.8534e+00 +2.0138e+00 +1.0913e+00 -8.8323e-02 +3.6466e+00 +2.9071e+00 -1.2894e-01 -3.9308e+00 +2.3583e+00 +1.3569e+00
702718 +5.711792444e-05 +5.711792444e-05 +7.948005712e+01 +7.948000000e+01 +2.5198e-01 -1.1577e+00 -7.2692e-01 +1.9254e+00 -2.6834e+00 +4.3591e-01 -1.1542e-01 +1.2184e-01 -1.6374e+00 -3.0517e+00 -3.8548e+00 +2.0161e+00 +1.0839e+00 -8.7833e-02 +3.6496e+00 +2.9071e+00 -1.2342e-01 -3.9293e+00 +2.3629e+00 +1.3589e+00
852148 +3.374333407e-05 +3.374333407e-05 +7.948003374e+01 +7.948000000e+01 +2.5198e-01 -1.1577e+00 -7.2692e-01 +1.9254e+00 -2.6834e+00 +4.3966e-01 -1.1542e-01 +1.1871e-01 -1.6374e+00 -3.0517e+00 -3.8548e+00 +2.0161e+00 +1.0848e+00 -8.7833e-02 +3.6477e+00 +2.9071e+00 -1.2342e-01 -3.9278e+00 +2.3629e+00 +1.3589e+00
1020828 +2.363844220e-05 +2.363844220e-05 +7.948002364e+01 +7.948000000e+01 +2.5198e-01 -1.1567e+00 -7.2352e-01 +1.9270e+00 -2.6791e+00 +4.3931e-01 -1.1732e-01 +1.1917e-01 -1.6387e+00 -3.0517e+00 -3.8534e+00 +2.0138e+00 +1.0849e+00 -8.8323e-02 +3.6466e+00 +2.9098e+00 -1.2419e-01 -3.9293e+00 +2.3629e+00 +1.3569e+00
1122205 +1.542143806e-05 +1.542143806e-05 +7.948001542e+01 +7.948000000e+01 +2.5204e-01 -1.1567e+00 -7.2352e-01 +1.9270e+00 -2.6814e+00 +4.3931e-01 -1.1732e-01 +1.1917e-01 -1.6387e+00 -3.0517e+00 -3.8534e+00 +2.0155e+00 +1.0849e+00 -8.4719e-02 +3.6466e+00 +2.9098e+00 -1.2419e-01 -3.9293e+00 +2.3629e+00 +1.3569e+00
1127054 +9.931115770e-06 +9.931115770e-06 +7.948000993e+01 +7.948000000e+01 +2.5204e-01 -1.1567e+00 -7.2352e-01 +1.9270e+00 -2.6814e+00 +4.3931e-01 -1.1732e-01 +1.1917e-01 -1.6387e+00 -3.0517e+00 -3.8534e+00 +2.0155e+00 +1.0849e+00 -8.7368e-02 +3.6476e+00 +2.9095e+00 -1.2419e-01 -3.9280e+00 +2.3629e+00 +1.3595e+00
1337309 +5.453126022e-06 +5.453126022e-06 +7.948000545e+01 +7.948000000e+01 +2.5198e-01 -1.1567e+00 -7.2352e-01 +1.9270e+00 -2.6798e+00 +4.3931e-01 -1.1732e-01 +1.1953e-01 -1.6374e+00 -3.0517e+00 -3.8534e+00 +2.0161e+00 +1.0866e+00 -8.7368e-02 +3.6475e+00 +2.9095e+00 -1.2431e-01 -3.9278e+00 +2.3629e+00 +1.3589e+00
1581327 +3.913839635e-06 +3.913839635e-06 +7.948000391e+01 +7.948000000e+01 +2.5269e-01 -1.1567e+00 -7.2352e-01 +1.9270e+00 -2.6814e+00 +4.3931e-01 -1.1732e-01 +1.1917e-01 -1.6372e+00 -3.0517e+00 -3.8537e+00 +2.0155e+00 +1.0866e+00 -8.6869e-02 +3.6468e+00 +2.9095e+00 -1.2419e-01 -3.9280e+00 +2.3623e+00 +1.3582e+00
1806214 +2.478991576e-06 +2.478991576e-06 +7.948000248e+01 +7.948000000e+01 +2.5198e-01 -1.1567e+00 -7.2352e-01 +1.9263e+00 -2.6814e+00 +4.3916e-01 -1.1705e-01 +1.1953e-01 -1.6374e+00 -3.0517e+00 -3.8537e+00 +2.0161e+00 +1.0866e+00 -8.6182e-02 +3.6475e+00 +2.9086e+00 -1.2431e-01 -3.9282e+00 +2.3626e+00 +1.3582e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.343381864e+02 +4.343381864e+02 +8.288181864e+02 +3.944800000e+02 +1.9624e+00 -1.1501e+00 +4.3289e+00 +4.8062e+00 -4.1739e+00 +5.0334e-01 +1.1516e+00 +4.4716e+00 +1.0300e+00 +9.0654e-01 -1.0806e+00 -1.2600e+00 +4.1546e+00 -4.7118e+00 +3.4552e+00 +2.9829e+00 +4.4141e+00 +2.3969e+00 +4.7609e+00 +5.4672e-01
200 +1.038056869e+02 +1.038056869e+02 +4.982856869e+02 +3.944800000e+02 -2.2054e+00 -4.7800e+00 -3.3842e+00 +1.9692e+00 +1.9797e+00 +2.0791e+00 +4.0623e+00 +2.9559e+00 -1.0955e+00 -4.3250e+00 +3.3975e+00 +3.4488e+00 -4.5341e-01 +1.1019e+00 -1.3285e+00 -2.9316e-01 -2.9074e+00 +1.0398e+00 -2.2861e+00 -1.4280e+00
398 +9.349578396e+01 +9.349578396e+01 +4.879757840e+02 +3.944800000e+02 -1.7326e+00 -2.1076e+00 -4.6817e+00 +2.3640e+00 +3.7418e-01 -2.9840e+00 +4.5317e+00 -1.0704e+00 +8.9288e-01 -3.1568e+00 +2.4580e+00 +3.5137e+00 +3.3257e+00 +2.4377e+00 -4.5978e+00 +2.8677e+00 +2.0993e+00 +2.9951e+00 -3.1318e+00 -2.5137e+00
997 +5.936071945e+01 +5.936071945e+01 +4.538407194e+02 +3.944800000e+02 -2.7115e+00 +7.6132e-02 -3.6648e+00 -6.4522e-02 -1.5955e+00 -3.6993e+00 +2.6802e+00 -2.8906e+00 -1.5251e+00 -2.2166e+00 +3.1698e+00 +1.6942e+00 +1.1531e+00 +4.1597e+00 -1.9674e+00 -4.0282e-02 -1.3216e+00 -8.8276e-01 -7.2549e-01 +8.1411e-01
1596 +3.956283351e+01 +3.956283351e+01 +4.340428335e+02 +3.944800000e+02 -2.7115e+00 +7.6132e-02 -3.6648e+00 +3.2831e+00 +1.5467e+00 -3.3594e+00 +2.3321e+00 -1.5896e+00 -2.9645e+00 -4.3250e+00 +3.3975e+00 +3.4488e+00 +1.1531e+00 +4.1597e+00 -1.9674e+00 +4.9197e+00 -2.9074e+00 +1.0398e+00 -7.2549e-01 +8.1411e-01
1796 +2.478712426e+01 +2.478712426e+01 +4.192671243e+02 +3.944800000e+02 -2.7115e+00 -4.6531e+00 -4.5769e+00 +2.5134e+00 +2.1837e+00 -4.0776e+00 +2.6802e+00 -2.8906e+00 -1.5251e+00 -2.2166e+00 +3.1698e+00 +1.6942e+00 +1.1531e+00 +4.0965e+00 -5.3615e+00 +2.8677e+00 -2.5348e+00 -2.1468e+00 -7.2549e-01 +8.1411e-01
2793 +1.288749143e+01 +1.288749143e+01 +4.073674914e+02 +3.944800000e+02 -4.7378e+00 -2.2445e+00 -4.2622e+00 +3.2831e+00 +1.4210e+00 -3.6993e+00 +4.4244e+00 -1.1398e+00 -1.2318e+00 -3.5711e+00 +2.4580e+00 +1.6258e-01 +1.1531e+00 +4.1617e+00 -3.5687e+00 +3.8035e+00 -4.6398e+00 -1.9067e+00 -1.5893e+00 +1.4422e+00
3785 +9.605419176e+00 +9.605419176e+00 +4.040854192e+02 +3.944800000e+02 -4.7378e+00 -1.1926e+00 -4.2622e+00 +3.2831e+00 +3.7857e-01 -3.3594e+00 +3.9517e+00 -2.4185e-01 +3.7031e-02 -3.9183e+00 +2.4580e+00 +1.6942e+00 +1.1531e+00 +4.1597e+00 -3.0950e+00 +3.8035e+00 -3.8571e+00 -1.6079e+00 -7.2549e-01 +1.4422e+00
4383 +5.975086138e+00 +5.975086138e+00 +4.004550861e+02 +3.944800000e+02 -4.7378e+00 -2.2445e+00 -3.7540e+00 +3.2831e+00 +1.4210e+00 -3.6993e+00 +2.8552e+00 -1.1398e+00 -1.2318e+00 -3.5711e+00 +2.4580e+00 +1.6942e+00 +8.3562e-01 +4.1617e+00 -3.5687e+00 +3.1303e+00 -3.5332e+00 -1.4731e+00 -7.2549e-01 +6.7725e-01
5383 +3.509271348e+00 +3.509271348e+00 +3.979892713e+02 +3.944800000e+02 -4.2337e+00 -2.2445e+00 -3.7540e+00 +3.2831e+00 +1.4210e+00 -3.0510e+00 +2.8552e+00 -6.1262e-01 -1.2318e+00 -3.5711e+00 +2.4580e+00 +1.6942e+00 +8.3562e-01 +4.1617e+00 -3.5687e+00 +3.1303e+00 -3.5332e+00 -1.6079e+00 -2.3580e-02 +1.4422e+00
6772 +2.186368509e+00 +2.186368509e+00 +3.966663685e+02 +3.944800000e+02 -4.2337e+00 -2.8201e+00 -3.8101e+00 +3.5699e+00 +1.4210e+00 -3.0510e+00 +2.8552e+00 -6.1262e-01 -1.2318e+00 -3.5711e+00 +1.8720e+00 +9.5927e-01 +1.1531e+00 +4.1597e+00 -3.6439e+00 +3.3807e+00 -3.5332e+00 -1.6079e+00 -2.3580e-02 +1.4422e+00
7569 +1.522408066e+00 +1.522408066e+00 +3.960024081e+02 +3.944800000e+02 -3.9221e+00 -2.6144e+00 -3.7540e+00 +3.6338e+00 +3.7857e-01 -3.0510e+00 +2.8552e+00 -1.0773e+00 -1.2404e+00 -3.5711e+00 +2.0862e+00 +1.3123e+00 +1.4660e+00 +4.1364e+00 -3.5687e+00 +2.9934e+00 -2.7250e+00 -1.6079e+00 +1.7665e-01 +1.0265e+00
8564 +9.484453089e-01 +9.484453089e-01 +3.954284453e+02 +3.944800000e+02 -3.9221e+00 -2.7811e+00 -3.7540e+00 +3.6338e+00 +7.1095e-01 -3.3594e+00 +3.3625e+00 -6.1262e-01 -1.2318e+00 -3.9183e+00 +2.0314e+00 +1.3595e+00 +1.1531e+00 +3.6427e+00 -3.5687e+00 +3.0598e+00 -3.2285e+00 -1.6079e+00 +1.4915e-01 +1.4422e+00
9164 +5.871145936e-01 +5.871145936e-01 +3.950671146e+02 +3.944800000e+02 -3.9221e+00 -2.7811e+00 -3.7540e+00 +3.6338e+00 +7.1095e-01 -2.6051e+00 +3.2870e+00 -5.1416e-01 -1.0505e+00 -3.5711e+00 +2.0862e+00 +1.3123e+00 +1.4660e+00 +4.1364e+00 -3.8975e+00 +2.8620e+00 -2.7250e+00 -1.6079e+00 -2.3580e-02 +1.1677e+00
74619 +3.939839032e-01 +3.939839032e-01 +3.948739839e+02 +3.944800000e+02 -3.9221e+00 -2.7824e+00 -3.7540e+00 +3.6338e+00 +7.1726e-01 -3.0510e+00 +3.5449e+00 -6.1262e-01 -8.7466e-01 -3.7639e+00 +2.0862e+00 +1.3123e+00 +1.4660e+00 +3.6427e+00 -3.8975e+00 +3.2031e+00 -3.2285e+00 -1.4731e+00 +1.7665e-01 +1.2087e+00
75716 +2.418958690e-01 +2.418958690e-01 +3.947218959e+02 +3.944800000e+02 -3.9221e+00 -2.9047e+00 -3.8954e+00 +3.8642e+00 +9.4318e-01 -3.0510e+00 +3.2870e+00 -5.1416e-01 -1.0505e+00 -3.7639e+00 +2.0314e+00 +1.3123e+00 +1.5489e+00 +3.6427e+00 -3.8975e+00 +2.9934e+00 -2.7250e+00 -1.6079e+00 -2.3580e-02 +1.1969e+00
77171 +1.327437135e-01 +1.327437135e-01 +3.946127437e+02 +3.944800000e+02 -3.9221e+00 -2.9551e+00 -3.8954e+00 +3.8642e+00 +9.4318e-01 -3.0510e+00 +3.3625e+00 -5.1416e-01 -8.7466e-01 -3.7639e+00 +2.0314e+00 +1.3123e+00 +1.5489e+00 +3.6427e+00 -3.8975e+00 +3.0372e+00 -2.9456e+00 -1.3077e+00 +1.7665e-01 +1.1677e+00
78972 +9.796945385e-02 +9.796945385e-02 +3.945779695e+02 +3.944800000e+02 -3.9221e+00 -3.0113e+00 -3.7540e+00 +3.8642e+00 +9.4318e-01 -3.0510e+00 +3.5449e+00 -6.1262e-01 -8.7466e-01 -3.7920e+00 +2.0314e+00 +1.3123e+00 +1.5489e+00 +3.7913e+00 -3.8975e+00 +2.9741e+00 -2.9456e+00 -1.4825e+00 +1.4915e-01 +1.2938e+00
81150 +5.867624262e-02 +5.867624262e-02 +3.945386762e+02 +3.944800000e+02 -3.9221e+00 -2.9551e+00 -3.8582e+00 +3.8642e+00 +9.4318e-01 -2.9189e+00 +3.3625e+00 -6.1262e-01 -8.6979e-01 -3.7639e+00 +1.9816e+00 +1.3123e+00 +1.5489e+00 +3.7913e+00 -3.8975e+00 +2.9934e+00 -2.9456e+00 -1.4220e+00 +1.4915e-01 +1.1677e+00
90949 +3.896193881e-02 +3.896193881e-02 +3.945189619e+02 +3.944800000e+02 -3.9221e+00 -2.9531e+00 -3.8474e+00 +3.8728e+00 +8.4455e-01 -2.8894e+00 +3.4772e+00 -5.8541e-01 -7.8336e-01 -3.6955e+00 +1.8756e+00 +1.2206e+00 +1.5195e+00 +3.7091e+00 -3.8156e+00 +2.9934e+00 -2.9354e+00 -1.3766e+00 +1.7665e-01 +1.2867e+00
101968 +2.487872759e-02 +2.487872759e-02 +3.945048787e+02 +3.944800000e+02 -3.9221e+00 -2.9047e+00 -3.8238e+00 +3.8728e+00 +8.4313e-01 -2.9019e+00 +3.4949e+00 -6.4255e-01 -9.0375e-01 -3.7040e+00 +1.9490e+00 +1.3123e+00 +1.5489e+00 +3.7367e+00 -3.8319e+00 +2.9455e+00 -2.8140e+00 -1.4483e+00 +1.3170e-01 +1.2987e+00
146759 +1.583152985e-02 +1.583152985e-02 +3.944958315e+02 +3.944800000e+02 -3.8833e+00 -2.9047e+00 -3.8238e+00 +3.9247e+00 +9.1719e-01 -2.9189e+00 +3.4643e+00 -6.1262e-01 -8.6979e-01 -3.7639e+00 +1.9436e+00 +1.2646e+00 +1.5489e+00 +3.8017e+00 -3.8445e+00 +2.9934e+00 -2.9456e+00 -1.3709e+00 +1.4915e-01 +1.2938e+00
